"","tempo","Country","valence","Country"
"240",166.043,"Japan",0.938,"Japan"
"241",129.882,"Japan",0.308,"Japan"
"242",199.884,"Japan",0.149,"Japan"
"243",75.188,"Japan",0.38,"Japan"
"244",147.962,"Japan",0.835,"Japan"
"245",99.967,"Japan",0.701,"Japan"
"246",150.087,"Japan",0.892,"Japan"
"247",126.007,"Japan",0.482,"Japan"
"248",108.394,"Japan",0.673,"Japan"
"249",156.057,"Japan",0.798,"Japan"
"250",91.988,"Japan",0.397,"Japan"
"251",141.981,"Belgium",0.13,"Belgium"
"252",80.87,"Belgium",0.531,"Belgium"
"253",130.001,"Belgium",0.442,"Belgium"
"254",121.932,"Belgium",0.415,"Belgium"
"255",124.927,"Belgium",0.637,"Belgium"
"256",169.928,"Belgium",0.478,"Belgium"
"257",133.155,"Belgium",0.616,"Belgium"
"258",141.02,"Belgium",0.822,"Belgium"
"259",120.966,"Belgium",0.262,"Belgium"
"260",116.032,"Belgium",0.934,"Belgium"
"261",150.087,"Belgium",0.892,"Belgium"
"262",126.011,"Belgium",0.537,"Belgium"
"263",107.998,"Belgium",0.497,"Belgium"
"264",93.005,"Belgium",0.533,"Belgium"
"265",150.273,"Belgium",0.35,"Belgium"
"266",128.925,"Belgium",0.916,"Belgium"
"267",107.998,"Belgium",0.881,"Belgium"
"268",120.105,"Belgium",0.84,"Belgium"
"269",59.974,"Belgium",0.291,"Belgium"
"270",87.981,"Belgium",0.546,"Belgium"
"271",88.098,"Belgium",0.55,"Belgium"
"272",166.928,"Belgium",0.688,"Belgium"
"273",134.002,"Belgium",0.589,"Belgium"
"274",138.095,"Belgium",0.836,"Belgium"
"275",105.006,"Belgium",0.47,"Belgium"
"276",77.011,"Belgium",0.555,"Belgium"
"277",123.028,"Belgium",0.448,"Belgium"
"278",81.499,"Belgium",0.407,"Belgium"
"279",120.122,"Belgium",0.109,"Belgium"
"280",149.952,"Belgium",0.358,"Belgium"
"281",145.041,"Belgium",0.649,"Belgium"
"282",140.045,"Belgium",0.678,"Belgium"
"283",122.042,"Belgium",0.942,"Belgium"
"284",107.682,"Belgium",0.947,"Belgium"
"285",139.975,"Belgium",0.598,"Belgium"
"286",131.885,"Belgium",0.945,"Belgium"
"287",178.781,"Belgium",0.71,"Belgium"
"288",112.74,"Belgium",0.053,"Belgium"
"289",143.104,"Belgium",0.303,"Belgium"
"290",126.021,"Belgium",0.693,"Belgium"
"291",179.629,"Belgium",0.687,"Belgium"
"292",122.758,"Belgium",0.139,"Belgium"
"293",138.005,"Belgium",0.429,"Belgium"
"294",174.185,"Belgium",0.116,"Belgium"
"295",81.055,"Belgium",0.297,"Belgium"
"296",153.96,"Belgium",0.441,"Belgium"
"297",138.656,"Belgium",0.744,"Belgium"
"298",77.045,"Belgium",0.317,"Belgium"
"299",93.998,"Belgium",0.229,"Belgium"
"300",94.995,"Belgium",0.399,"Belgium"
