"","track.name","instrumentalness","Danceability","Acousticness","Country"
"137","MONTERO (Call Me By Your Name)",0,0.593,0.293,"Belgium"
"138","Ze Meent Het",0,0.679,0.608,"Belgium"
"139","Shonen",0,0.76,0.0919,"Belgium"
"140","Duizend Sterren",5.33e-06,0.6,0.0692,"Belgium"
"141","Toxic",0,0.594,0.835,"Belgium"
"142","Another Love",2.95e-05,0.442,0.717,"Belgium"
"143","Platine o Plomo",1.43e-06,0.56,0.0995,"Belgium"
"144","GHOST TOWN",0,0.391,0.389,"Belgium"
"145","Happier Than Ever",0.00349,0.332,0.767,"Belgium"
"146","Ghost",2.91e-05,0.601,0.185,"Belgium"
"147","MAUVAIS 2X (feat. Ninho)",0,0.736,0.36,"Belgium"
"148","Seul avec du monde autour",0,0.721,0.0273,"Belgium"
"149","Wrecked",1.67e-05,0.625,0.149,"Belgium"
"150","Meet Me At Our Spot",0.000193,0.773,0.0153,"Belgium"
"151","Etnaset",2.05e-06,0.444,0.804,"Egypt"
"152","Keify Keda",0.000314,0.931,0.24,"Egypt"
"153","FAR2 KHEBRA",1e-05,0.798,0.153,"Egypt"
"154","SIRI",0,0.865,0.0462,"Egypt"
"155","عفاريت الأسفلت",0,0.857,0.503,"Egypt"
"156","عرفة",0.141,0.766,0.878,"Egypt"
"157","Enemy (with JID) - from the series Arcane League of Legends",0,0.728,0.237,"Egypt"
"158","Inta El Haz",0,0.807,0.255,"Egypt"
"159","HUSTLE",0,0.868,0.347,"Egypt"
"160","Msh Bel 7ozoz - مش بالحظوظ",0,0.765,0.164,"Egypt"
"161","INDUSTRY BABY (feat. Jack Harlow)",0,0.741,0.0221,"Egypt"
"162","Mamlaka",0,0.751,0.215,"Egypt"
"163","3la 3eny",0,0.448,0.83,"Egypt"
"164","Tesla",0,0.701,0.423,"Egypt"
"165","خطر (ياللي سيرتي تعباك)",5.36e-05,0.661,0.322,"Egypt"
"166","Samurai",0.0169,0.8,0.31,"Egypt"
"167","Easy On Me",0,0.604,0.578,"Egypt"
"168","أسياد الصوت",4.51e-06,0.823,0.436,"Egypt"
"169","El Melouk - الملوك",0,0.714,0.0574,"Egypt"
"170","RAKAM 1 DA MESH ENTA",1.38e-05,0.742,0.116,"Egypt"
"171","واحد وعشرين",1.05e-05,0.645,0.324,"Egypt"
"172","El 3aw - العو",4.86e-06,0.713,0.25,"Egypt"
"173","البوصلة ضاعت",1.88e-05,0.753,0.666,"Egypt"
"174","Free",0,0.423,0.125,"Egypt"
"175","CTRL",0.00164,0.795,0.0637,"Egypt"
"176","STAY (with Justin Bieber)",0,0.591,0.0383,"Egypt"
"177","خد و هات",2.89e-05,0.828,0.739,"Egypt"
"178","Awadeeh",1.37e-05,0.592,0.795,"Egypt"
"179","3ASAS",7.59e-06,0.674,0.437,"Egypt"
"180","MONEY",6.12e-05,0.831,0.161,"Egypt"
"181","صاحبي من غبائه",0,0.8,0.19,"Egypt"
"182","Ray'a",0.0175,0.761,0.263,"Egypt"
"183","مسيطره",3.14e-06,0.803,0.165,"Egypt"
"184","love nwantiti (ah ah ah)",0.00137,0.727,0.365,"Egypt"
"185","Ghaba",0.00136,0.744,0.00112,"Egypt"
"186","Sindbad",4.98e-05,0.751,0.105,"Egypt"
"187","Hamoot Men Gherha",0,0.539,0.577,"Egypt"
"188","Denamet",3.91e-06,0.661,0.292,"Egypt"
